ID,MTO_PIA
1,46996.9712089288
2,46993.64091833334
3,46993.64091833334
4,46993.64091833334
5,46994.80739108581
6,46993.64128760502
7,46993.64091833334
8,46994.80739108581
9,46994.1428839078
10,46993.64128760502
11,46993.64091833334
12,46994.30579478303
13,46994.1428839078
14,46994.30579478303
15,46994.890917408775
16,46994.480760043814
17,46993.64128760502
18,46994.30579478303
19,47002.13321799812
20,46994.142514636114
21,46993.68508313767
22,46994.30579478303
23,46993.64128760502
24,46994.1428839078
25,46993.64128760502
26,46993.64128760502
27,46994.47647215145
28,46993.64128760502
29,46993.64128760502
30,46996.9712089288
31,46993.64128760502
32,46994.34959031569
33,46994.1428839078
34,46997.47280523158
35,46993.543260737235
36,46993.64091833334
37,46993.64128760502
38,46993.64128760502
39,46993.64128760502
40,46994.48039077213
41,46993.64128760502
42,46994.1428839078
43,47002.13321799812
44,46997.47280523158
45,46993.64128760502
46,46994.142514636114
47,46994.80739108581
48,46994.1428839078
49,46996.9712089288
50,46993.64128760502
51,46996.9712089288
52,46998.22120800424
53,46993.64128760502
54,46997.47280523158
55,46994.80739108581
56,46994.80739108581
57,46999.856279108804
58,46993.68508313767
59,46994.142514636114
60,47002.13321799812
61,46995.861481335334
62,46993.86242072601
63,46993.64128760502
64,46993.64128760502
65,47001.67541722799
66,46993.64128760502
67,46994.30579478303
68,46994.30579478303
69,46994.80739108581
70,46993.64128760502
71,46993.64128760502
72,46994.80739108581
73,46995.55579385847
74,46993.81196497344
75,46994.80739108581
76,46993.64128760502
77,46994.30579478303
78,46993.56515850356
79,46994.229665681574
80,46994.1428839078
81,46994.80739108581
82,46994.1428839078
83,46994.80739108581
84,46995.55579385847
85,46994.1428839078
86,46994.1428839078
87,47002.471094134125
88,46993.64128760502
89,46993.64128760502
90,46994.80739108581
91,46994.80739108581
92,46994.80739108581
93,46993.64091833334
94,46994.1428839078
95,46996.9712089288
96,46993.64091833334
97,46994.30579478303
98,46994.142514636114
99,46994.30579478303
100,46994.1428839078
101,46994.1428839078
102,46993.81196497344
103,46994.142514636114
104,46994.890917408775
105,46993.64091833334
106,46993.64091833334
107,46997.47280523158
108,46994.142514636114
109,46993.64128760502
110,46993.81196497344
111,46993.64091833334
112,46994.1428839078
113,46994.142514636114
114,46997.11148041077
115,46993.64128760502
116,46993.64128760502
117,46994.30579478303
118,46993.64128760502
119,46993.64091833334
120,46997.81068136759
121,46993.564789231874
122,46997.81068136759
123,46993.64128760502
124,46994.30579478303
125,46993.68508313767
126,46993.64128760502
127,46994.30579478303
128,46994.1428839078
129,46994.1428839078
130,46994.30579478303
131,46994.34959031569
132,46994.80739108581
133,46993.64128760502
134,46994.1428839078
135,46993.64128760502
136,46994.1428839078
137,46994.890917408775
138,46994.30579478303
139,46993.64091833334
140,46993.64128760502
141,46994.48039077213
142,46996.9712089288
143,46994.20776791524
144,46993.81196497344
145,46993.86242072601
146,46993.64128760502
147,46996.36307763811
148,46993.64128760502
149,46995.861481335334
150,46993.64128760502
151,46994.1428839078
152,46994.89128668046
153,46993.64128760502
154,46994.480760043814
155,46994.80739108581
156,46994.30579478303
157,46993.543260737235
158,46993.543260737235
159,46994.1428839078
160,46994.80739108581
161,46994.89128668046
162,46994.30579478303
163,46993.64128760502
164,46994.80739108581
165,46994.480760043814
166,46993.64128760502
167,46993.64128760502
168,46994.1428839078
169,46994.80739108581
170,46993.64128760502
171,46993.64128760502
172,46994.1428839078
173,46994.30579478303
174,46993.64128760502
175,46994.1428839078
176,46997.47280523158
177,46994.1428839078
178,46994.1428839078
179,46994.34959031569
180,46993.64128760502
181,46993.64091833334
182,46995.14526722182
183,46994.48039077213
184,46994.48039077213
185,46994.142514636114
186,46994.80739108581
187,46994.142514636114
188,46994.48039077213
189,46993.68471386599
190,46994.80739108581
191,46994.80739108581
192,46994.80739108581
193,46994.1428839078
194,46993.64128760502
195,46993.81196497344
196,46993.64128760502
197,47002.471094134125
198,46996.9712089288
199,46994.1428839078
200,46993.68508313767
201,46994.1428839078
202,46993.64128760502
203,46997.47280523158
204,46994.1428839078
205,46994.89128668046
206,46993.64128760502
207,46993.64091833334
208,46994.30579478303
209,47001.631621695335
210,46994.1428839078
211,46994.80739108581
212,46993.64128760502
213,46993.68508313767
214,46993.64128760502
215,46993.54289146555
216,46994.1428839078
217,46994.89128668046
218,46995.55579385847
219,46994.48039077213
220,46994.1428839078
221,47001.631621695335
222,46993.54289146555
223,46994.142514636114
224,46993.64128760502
225,46994.80739108581
226,46994.30579478303
227,46993.64091833334
228,46993.64128760502
229,46993.64128760502
230,46993.64128760502
231,46994.890917408775
232,46993.64128760502
233,46993.64091833334
234,46993.64091833334
235,46993.64128760502
236,46993.64128760502
237,46994.80739108581
238,46994.1428839078
239,46994.1428839078
240,46993.64128760502
241,46993.64128760502
242,46994.1428839078
243,46994.30579478303
244,46994.1428839078
245,46994.80739108581
246,46993.64128760502
247,46994.80739108581
248,46994.80739108581
249,46994.1428839078
250,46994.30579478303
251,46993.64128760502
252,46994.80739108581
253,46993.543260737235
254,46994.1428839078
255,46994.1428839078
256,46994.1428839078
257,46994.80739108581
258,46993.64128760502
259,46994.80739108581
260,46995.14526722182
261,46994.480760043814
262,46994.80739108581
263,46994.1428839078
264,46994.89128668046
265,46993.64128760502
266,46994.30579478303
267,46993.64128760502
268,46994.890917408775
269,46996.9712089288
270,46993.64128760502
271,46994.80739108581
272,46993.64128760502
273,46993.64091833334
274,46993.64128760502
275,46994.142514636114
276,46993.64091833334
277,46993.64128760502
278,46994.1428839078
279,46993.64128760502
280,47001.631621695335
281,46996.36307763811
282,46993.64091833334
283,46993.64128760502
284,46994.142514636114
285,46993.64128760502
286,46993.64091833334
287,46993.56515850356
288,46993.68471386599
289,46993.68508313767
290,46994.80739108581
291,46994.80739108581
292,46993.81196497344
293,46996.9712089288
294,46993.64128760502
295,46994.80739108581
296,46996.9712089288
297,46993.64128760502
298,46993.64091833334
299,46993.64091833334
300,46994.1428839078
301,46994.1428839078
302,46994.80739108581
303,46994.890917408775
304,46994.890917408775
305,46993.64128760502
306,46996.9712089288
307,46994.890917408775
308,46993.564789231874
309,46994.30579478303
310,46994.142514636114
311,46994.142514636114
312,46993.64128760502
313,46993.64128760502
314,46993.64128760502
315,46993.64128760502
316,46995.14526722182
317,46994.48039077213
318,46993.64128760502
319,46994.142514636114
320,46994.1428839078
321,46994.89128668046
322,46994.30579478303
323,46994.142514636114
324,46994.890917408775
325,46994.89128668046
326,47001.631621695335
327,47002.13321799812
328,46994.229665681574
329,46993.64091833334
330,46993.64128760502
331,46994.480760043814
332,46993.68508313767
333,46993.64128760502
334,46994.1428839078
335,46993.64128760502
336,46993.64091833334
337,46994.1428839078
338,46993.64091833334
339,46996.9712089288
